analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	primary_participants	primary_spearman_rho	primary_p_value	primary_q_value	recall_participants	recall_spearman_rho	recall_p_value	recall_q_value	rho_difference_recall_minus_primary	fisher_z_difference	standard_error	z_statistic	p_value	context_pattern	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV18	IgG3	nAb	IgG3__nAb	high	True	20	0.1997911323804727	0.3983761782185707	0.6003244413656609	60	0.3286234075895647	0.0103596097325443	0.0155394145988165	0.12883227520909202	0.13876922353223325	0.27634650180685755	0.5021566136169909	0.6155573593031971	stronger_positive_coupling_in_recall	0.7968942139162913	False
predictor_function	raw_predictor	HPV18	FcgR2A	nAb	FcgR2A__nAb	high	True	20	0.1326857138710009	0.577079227251952	0.6449006236307331	60	0.1574478010853273	0.2295802100809491	0.2295802100809491	0.024762087214326406	0.02529582552721965	0.27634650180685755	0.09153662290575786	0.9270662075016904	stronger_positive_coupling_in_recall	0.9270662075016904	False
predictor_function	raw_predictor	HPV18	FcgR2B	nAb	FcgR2B__nAb	high	True	20	0.1098088666518628	0.6449006236307331	0.6449006236307331	60	0.2677203364175559	0.0386357667994908	0.0463629201593889	0.1579114697656931	0.16415308484508634	0.27634650180685755	0.5940118068142409	0.55250421612402	stronger_positive_coupling_in_recall	0.7968942139162913	False
predictor_function	raw_predictor	HPV18	FcgR3A	nAb	FcgR3A__nAb	high	True	20	0.1990285708065015	0.4002162942437739	0.6003244413656609	60	0.3479492320215139	0.0064457549338903	0.0128915098677806	0.1489206612150124	0.16138774953436674	0.27634650180685755	0.5840050388883262	0.5592169219209204	stronger_positive_coupling_in_recall	0.7968942139162913	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG	ADCP	IgG__ADCP	none	False	20	0.1473684210526315	0.5352473458918693	0.903272051408126	60	0.1825507085301473	0.1626999514508837	0.2440499271763256	0.03518228747751578	0.03617070115169638	0.27634650180685755	0.13088894165548942	0.8958631627019537	stronger_positive_coupling_in_recall	0.9689194501231035	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG1	ADCP	IgG1__ADCP	none	False	20	0.2526315789473684	0.2825500572639195	0.8476501717917586	60	0.2626840789108086	0.0425908293402013	0.1277724880206041	0.010052499963440209	0.010767440496346536	0.27634650180685755	0.03896354911657992	0.9689194501231035	stronger_positive_coupling_in_recall	0.9689194501231035	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG3	ADCP	IgG3__ADCP	low	False	20	0.4210526315789473	0.0644880751289704	0.386928450773823	60	0.5392053348152266	8.784683430486175e-06	5.2708100582917054e-05	0.1181527032362793	0.1540637103205174	0.27634650180685755	0.5575019380132943	0.5771845353309054	stronger_positive_coupling_in_recall	0.9689194501231035	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2A	ADCP	FcgR2A__ADCP	moderate	True	20	0.075187969924812	0.7527267095067718	0.903272051408126	60	0.0479021950541817	0.7162671272811423	0.7162671272811423	-0.027285774870630296	-0.027391252746769845	0.27634650180685755	-0.09911923099324767	0.9210436031521255	weaker_positive_coupling_in_recall	0.9689194501231035	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2B	ADCP	FcgR2B__ADCP	high	True	20	0.0075187969924812	0.97490250199334	0.97490250199334	60	0.0497916087802167	0.7055751791435706	0.7162671272811423	0.042272811787735495	0.042313879271859416	0.27634650180685755	0.15311892495542853	0.878304491904778	stronger_positive_coupling_in_recall	0.9689194501231035	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR3A	ADCP	FcgR3A__ADCP	high	True	20	0.0887218045112781	0.7099206278927328	0.903272051408126	60	0.194331758821895	0.1367912660346709	0.2440499271763256	0.10560995431061689	0.10787932883574367	0.27634650180685755	0.39037703799537166	0.6962577646621853	stronger_positive_coupling_in_recall	0.9689194501231035	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG	nAb	IgG__nAb	moderate	True	20	-0.3358852685718084	0.1476553734548766	0.4262831255578881	60	0.1351041350512994	0.303373521505887	0.4550602822588305	0.4709894036231078	0.48538255652711787	0.27634650180685755	1.7564273596861326	0.07901546460474043	emerges_or_reverses_positive_in_recall	0.1304561584453134	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG1	nAb	IgG1__nAb	moderate	True	20	-0.1565438129542817	0.5098382299123313	0.5372195289289854	60	0.3051171646251706	0.0177620718487658	0.0532862155462975	0.4616609775794523	0.47299412707749433	0.27634650180685755	1.711598026336069	0.08697077229687561	emerges_or_reverses_positive_in_recall	0.1304561584453134	False
predictor_function	bpv_calibrated_predictor	HPV16	IgG3	nAb	IgG3__nAb	moderate	True	20	-0.2910499046674267	0.213141562778944	0.4262831255578881	60	0.3956341379224801	0.0017550081544067	0.0105300489264406	0.6866840425899068	0.7181751664603366	0.27634650180685755	2.598821268822427	0.009354446496724697	emerges_or_reverses_positive_in_recall	0.056126678980348184	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2A	nAb	FcgR2A__nAb	moderate	True	20	0.1595834986427144	0.5015498820127948	0.5372195289289854	60	0.0618458059209985	0.6387637820850398	0.7665165385020477	-0.0977376927217159	-0.09903444262132596	0.27634650180685755	-0.35837053110425304	0.7200660419034137	weaker_positive_coupling_in_recall	0.7200660419034137	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR2B	nAb	FcgR2B__nAb	high	True	20	-0.445313953355384	0.049110592978722	0.2946635578723325	60	0.0242516118197674	0.854070319113581	0.854070319113581	0.46956556517515136	0.5030961548205634	0.27634650180685755	1.8205265908239516	0.06867885061289454	emerges_or_reverses_positive_in_recall	0.1304561584453134	False
predictor_function	bpv_calibrated_predictor	HPV16	FcgR3A	nAb	FcgR3A__nAb	high	True	20	-0.1466648344668756	0.5372195289289854	0.5372195289289854	60	0.1670759831597125	0.2019798705713952	0.4039597411427905	0.3137408176265881	0.3163873930978346	0.27634650180685755	1.1448937874341618	0.2522531578044662	emerges_or_reverses_positive_in_recall	0.30270378936535947	False
predictor_function	bpv_calibrated_predictor	HPV18	IgG	ADCP	IgG__ADCP	none	False	20	0.3759398496240601	0.1023490460106849	0.1794487594935584	60	0.6047791053070299	3.0929949106763e-07	1.8557969464057805e-06	0.22883925568296987	0.30532550814630083	0.27634650180685755	1.1048647482416736	0.269218199331557	stronger_positive_coupling_in_recall	0.7878455647952551	False
