previous_4vHPV_doses	visit	prior_4vHPV_exposure_status	immunization_context	response_type	antigen_target	antigen_class	feature	assay_family	outcome_family	floor_severity	minimum_fraction	participants	observations	mean_log2_value	sd_log2_value	se_log2_value	ci95_lower_log2	ci95_upper_log2	geometric_mean	geometric_mean_ci95_lower	geometric_mean_ci95_upper	raw_median	raw_q1	raw_q3	raw_minimum	raw_maximum
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	none	0.0375	20	20	7.4463641200299975	1.5504966904277788	0.3467015998684961	6.720709331803406	8.172018908256588	174.41304277310368	105.47149477508864	288.41830253985717	150.55	107.625	307.25	27.5	3219.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	0.5125	20	20	2.1810315478568283	2.6695854631366296	0.5969374567318763	0.9316270919397196	3.430436003773937	4.534776813390829	1.9074260055708436	10.78112633843049	1.0	1.0	24.575	1.0	131.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	7.741239979137559	0.8007735257838955	0.17905840382349708	7.3664664327910305	8.116013525484087	213.96632986788708	165.01649499631478	277.43644850871357	220.5	155.75	298.375	65.3	652.2
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	high	0.35	20	20	2.5569036894714223	2.9248109118394923	0.6540076020206249	1.1880500466763884	3.925757332266456	5.884434140955448	2.2784457917031005	15.197449632259755	2.4999999999999982	1.0	21.900000000000002	1.0	747.7
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	none	0.025	20	20	6.783464982250325	2.1067142966960524	0.47107563765830335	5.7974923411857855	7.7694376233148645	110.16063589531652	55.61847724563849	218.1894633192629	116.9	54.2	389.75	4.0	898.8
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	none	0.0125	20	20	0.8195760592416717	1.6352975364747986	0.36566364549955915	0.05423325338847851	1.5849188650948647	1.7648872983452828	1.0383071293572863	2.999909263638201	1.0	1.0	3.0	0.5	54.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	moderate	0.2875	20	20	3.547531402345039	3.2184907312541364	0.7196764060037256	2.041231373189154	5.053831431500924	11.69266111049398	4.115966879606387	33.21657531363147	5.75	1.9750000000000005	89.75	1.0	831.5
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	none	0.025	20	20	5.439298219448435	1.9956077110713986	0.4462314498378407	4.505325061104361	6.37327137779251	43.39022672311179	22.711090276338442	82.89834403258693	61.45	22.400000000000002	107.125	1.0	233.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV33	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	high	0.4125	20	20	1.7165695069866302	2.1828674341310754	0.4881039968587629	0.6949561005084244	2.7381829134648363	3.2865399157099255	1.6188351731193757	6.6722942501559395	1.0	1.0	16.85	1.0	29.0
0	v1	hpv_vaccine_naive	unvaccinated_pre_2vHPV_baseline	unvaccinated_baseline	HPV45	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	none	0.0125	20	20	7.611907721571039	1.0756383529416833	0.24052004763835147	7.108493476296548	8.11532196684553	195.6196819274391	137.9970366151967	277.30349068364234	177.9	126.10000000000001	314.0	52.0	1486.3
