analysis_layer	predictor_representation	antigen_target	predictor_feature	functional_outcome	feature_pair	pair_maximum_floor_severity	floor_sensitive_pair	recall_dose1_rho	recall_dose1_participants	recall_dose1_q_value	recall_dose2_rho	recall_dose2_participants	recall_dose2_q_value	recall_dose3_rho	recall_dose3_participants	recall_dose3_q_value	weighted_fisher_z_mean	heterogeneity_q	degrees_of_freedom	p_value	i_squared_percent	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV16	FcgR2A	nAb	FcgR2A__nAb	moderate	True	0.0325642656736381	20	0.8915919031347304	0.0262568730719712	21	0.9100501908020636	0.2639744908993316	19	0.4122243151755622	0.10495163969347544	0.6383474767484287	2	0.7267492740998878	0.0	0.8720991289198653	False
predictor_function	raw_predictor	HPV16	FcgR2B	ADCP	FcgR2B__ADCP	moderate	True	0.1518796992481203	20	0.6272182933683766	0.3506493506493506	21	0.1429539519808786	0.2596491228070175	19	0.3396581158091061	0.26362965467800514	0.3972047590455554	2	0.8198758279474643	0.0	0.8198758279474643	False
predictor_function	raw_predictor	HPV16	FcgR2B	nAb	FcgR2B__nAb	moderate	True	0.287019923030439	20	0.2638039692543811	0.2461581850497307	21	0.4004924705812312	0.1514905153958364	19	0.6430266151609335	0.23503446846632142	0.17510229915890413	2	0.9161720086394285	0.0	0.9161720086394285	False
predictor_function	raw_predictor	HPV16	FcgR3A	ADCP	FcgR3A__ADCP	low	False	0.1804511278195488	20	0.6272182933683766	0.5597402597402598	21	0.0249774468511841	0.3368421052631579	19	0.2377245644459311	0.39400467959500324	1.8145478208380872	2	0.4036230381792615	0.0	0.6054345572688923	False
predictor_function	raw_predictor	HPV16	FcgR3A	nAb	FcgR3A__nAb	moderate	True	0.3892565710755821	20	0.1347203874077548	0.5428608507630062	21	0.0430506548200557	0.0752916932805654	19	0.7593431780232522	0.3753000792757159	2.436671042477151	2	0.2957219804596363	17.920804034065497	0.5914439609192726	False
predictor_function	raw_predictor	HPV16	IgG	ADCP	IgG__ADCP	none	False	0.7085370941082199	20	0.0028274492653254	0.5825752650035353	21	0.0249774468511841	0.3835015726801793	19	0.2101061789712635	0.6567246624499488	1.9022774552810238	2	0.38630088140989066	0.0	0.6054345572688923	False
predictor_function	raw_predictor	HPV16	IgG	nAb	IgG__nAb	moderate	True	0.6284236980346465	20	0.0090080163873149	0.5067597859672013	21	0.0430506548200557	0.3934129372351713	19	0.1912618321487268	0.5737942001100315	0.8664184227129701	2	0.6484248197772824	0.0	0.8720991289198653	False
predictor_function	raw_predictor	HPV16	IgG1	ADCP	IgG1__ADCP	none	False	0.6045112781954887	20	0.0142593024722814	0.5324675324675324	21	0.0259150395799007	0.8210526315789475	19	4.937494662896693e-05	0.8068423733367139	3.0078398905782304	2	0.2222572141962877	33.50709902263056	0.6054345572688923	False
predictor_function	raw_predictor	HPV16	IgG1	nAb	IgG1__nAb	moderate	True	0.6634022495373735	20	0.0085735093491329	0.498224166540655	21	0.0430506548200557	0.812787435896224	19	0.0001406685190987	0.8154641352823881	2.9381411496116967	2	0.23013928306461065	31.929750881290403	0.5914439609192726	False
predictor_function	raw_predictor	HPV16	IgG3	ADCP	IgG3__ADCP	none	False	0.5187969924812029	20	0.038176788768385	0.448051948051948	21	0.0624842849351784	0.8350877192982457	19	4.937494662896693e-05	0.7397240147631404	5.1156740481866	2	0.07747212969855499	60.90446769748831	0.46483277819132995	False
predictor_function	raw_predictor	HPV16	IgG3	nAb	IgG3__nAb	moderate	True	0.5967591011820209	20	0.0109499325747655	0.2218705774581573	21	0.4004924705812312	0.6286402824509859	19	0.0118209464699054	0.540892561310753	2.786485158513787	2	0.2482689662300609	28.22499004205249	0.5914439609192726	False
predictor_function	raw_predictor	HPV18	FcgR2A	ADCP	FcgR2A__ADCP	low	False	0.2571428571428572	20	0.4106257552500237	0.5064935064935064	21	0.0286934267021286	0.043859649122807	19	0.8584985542787698	0.29839279381571604	2.270748761846771	2	0.3213018095464341	11.923325309955237	0.728725715642244	False
