model_id	model_family	contrast_type	contrast_label	previous_4vHPV_doses	antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	estimate_log2	standard_error	ci95_lower	ci95_upper	test_statistic	p_value	ratio_effect	ratio_ci95_lower	ratio_ci95_upper	bh_family	q_value	fdr_significant_0_05	phase2B1_mean_log2_change	phase2B1_p_value	phase2B1_q_value	effect_difference	effect_direction_agreement
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1	BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	-0.04869057499366922	0.17095239473292956	-0.383751111741086	0.2863699617537475	-0.2848194965021466	0.7757824345650643	0.9668134341429541	0.7664421923898566	1.2195677974417092	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.8795511131220441	no	-0.0486905749936678	0.7407919431709972	0.8726851809011726	-1.4155343563970746e-15	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2	BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	0.23661715906617203	0.1668324544905924	-0.09036844318780668	0.5636027613201507	1.4182921409905576	0.15610549022251796	1.1782267060594125	0.939282839497477	1.4779554277967215	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.3122109804450359	no	0.2366171590661726	0.2182250375093421	0.4364500750186842	-5.551115123125783e-16	yes
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3	BPV	heterologous_control_antigen	IgM	antibody_isotype_or_subclass	Antibody abundance	none	mixedlm_lbfgs	0.05462258006623019	0.17539345623310185	-0.2891422772746517	0.398387437407112	0.31142883685258793	0.7554746344748045	1.0385873654452598	0.8183884688834359	1.3180338637153515	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.8795511131220441	no	0.0546225800662304	0.763599533288526	0.8726851809011726	-2.0816681711721685e-16	yes
HPVVT-FJ-M01	Primary 2vHPV induction	within_trajectory	dose0_v2_minus_v1	0	HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	1.5838570278059942	0.19515826378936477	1.201353859493472	1.9663601961185164	8.115756909558586	4.827662204758573e-16	2.9977021141931868	2.299553653858851	3.9078096526944033	HPVVT-FJ-M01|Phagocytic function|within_trajectory	9.655324409517146e-16	yes	1.583857027805997	4.395239147111274e-07	5.605930448184137e-07	-2.6645352591003757e-15	yes
HPVVT-FJ-M03	Heterologous 2vHPV recall	within_trajectory	dose1_v2_minus_v1	1	HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	1.7621023077085212	0.19515826378936482	1.3795991393959988	2.1446054760210433	9.029093995273323	1.730989377046983e-19	3.3919203856629085	2.6019606416259142	4.421713272144765	HPVVT-FJ-M03|Phagocytic function|within_trajectory	5.192968131140948e-19	yes	1.76210230770852	1.0362913776996265e-08	6.217748266197757e-08	1.1102230246251565e-15	yes
HPVVT-FJ-M03	Heterologous 2vHPV recall	within_trajectory	dose2_v2_minus_v1	2	HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	1.0534544515500732	0.1904549638685502	0.6801695816908375	1.426739321409309	5.531252271676968	3.179526627351454e-08	2.0754935543980215	1.602328089879015	2.6883841839613427	HPVVT-FJ-M03|Phagocytic function|within_trajectory	3.179526627351454e-08	yes	1.053454451550072	4.076487269807356e-06	5.613777648643183e-06	1.3322676295501878e-15	yes
HPVVT-FJ-M03	Heterologous 2vHPV recall	within_trajectory	dose3_v2_minus_v1	3	HPV16	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	none	mixedlm_powell	1.4785603588977814	0.20022815387841236	1.0861203886051491	1.8710003291904136	7.384377922175871	1.5316781522006461e-13	2.786705138618928	2.123023570503142	3.657861192640793	HPVVT-FJ-M03|Phagocytic function|within_trajectory	3.0633563044012923e-13	yes	1.4785603588977836	6.9745354510824526e-06	6.974535451082453e-06	-2.220446049250313e-15	yes
HPVVT-FJ-M01	Primary 2vHPV induction	within_trajectory	dose0_v2_minus_v1	0	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	-0.4252620581827547	0.8660331141634351	-2.1226557713621523	1.272131654996643	-0.49104595566596376	0.6233939444987568	0.7447034476986855	0.2296238225383448	2.4151815734262465	HPVVT-FJ-M01|Fc-receptor engagement|within_trajectory	0.6890143597091524	no	-0.4252620581827211	0.8483818665969707	0.922892477127598	-3.3584246494910985e-14	yes
HPVVT-FJ-M03	Heterologous 2vHPV recall	within_trajectory	dose1_v2_minus_v1	1	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	1.003421770989018	0.8660331141634359	-0.6939719421903812	2.7008154841684173	1.1586413435914582	0.2466024092111544	2.0047492116693135	0.6181496522364671	6.501693218054738	HPVVT-FJ-M03|Fc-receptor engagement|within_trajectory	0.28247185055095864	no	1.0034217709890243	0.0611032703333548	0.0652458649322263	-6.217248937900877e-15	yes
HPVVT-FJ-M03	Heterologous 2vHPV recall	within_trajectory	dose2_v2_minus_v1	2	HPV16	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	low	mixedlm_lbfgs	0.3647268484301282	0.8451617792879426	-1.2917598000840294	2.0212134969442856	0.4315467847320478	0.6660708424548099	1.2876378125018022	0.4084524947407078	4.059250849323268	HPVVT-FJ-M03|Fc-receptor engagement|within_trajectory	0.6913910141049296	no	0.3647268484301326	0.0235267742588855	0.027965788269996	-4.385380947269368e-15	yes
