sensitivity_id	antigen_target	feature	previous_4vHPV_doses	continuous_effect	continuous_q_value	detection_effect	detection_q_value	conditional_effect	conditional_q_value	robustness_classification
within|HPV33|IgA2|dose1	HPV33	IgA2	1.0	1.2007624138707151	0.1104137960855332	0.0	1.0	1.8927785436163957	0.1856064146368893	continuous_result_not_fdr_significant
within|HPV33|IgA2|dose2	HPV33	IgA2	2.0	1.221037068962779	0.0784343939281054	0.19047619047619047	0.21428571428571427	0.9033374241438938	0.6346308036127454	continuous_result_not_fdr_significant
within|HPV33|IgA2|dose3	HPV33	IgA2	3.0	1.6722170431620789	0.0509451671443289	0.10526315789473684	0.6206896551724138	1.3695911946881045	0.1682750523132023	continuous_result_not_fdr_significant
within|HPV33|IgG2|dose0	HPV33	IgG2	0.0	0.340542911336152	0.741977992966963	0.05	1.0	0.5282598387930036	0.6752721082667139	continuous_result_not_fdr_significant
within|HPV33|IgG2|dose1	HPV33	IgG2	1.0	1.6303759364159691	0.0185987181317366	0.15	0.625	1.3608251943088328	0.06962571475786572	not_supported_after_floor_sensitivity
within|HPV33|IgG2|dose2	HPV33	IgG2	2.0	0.7288561051003166	0.1802700021174642	0.0	1.0	0.9141888580655154	0.17457874146736893	continuous_result_not_fdr_significant
within|HPV33|IgG2|dose3	HPV33	IgG2	3.0	-0.2428932821603634	0.7838039470191239	-0.05263157894736842	1.0	-0.3036092823181147	0.7713136897373399	continuous_result_not_fdr_significant
within|HPV45|FcgR2A|dose0	HPV45	FcgR2A	0.0	-2.152278205103205	0.1994193883136976	-0.2	0.6875	-1.995389602470385	0.4020733268492294	continuous_result_not_fdr_significant
within|HPV45|FcgR2A|dose1	HPV45	FcgR2A	1.0	2.790458247698408	0.0382254631407222	0.05	1.0	3.9296760486149056	0.007890082175875597	sensitivity_supported
within|HPV45|FcgR2A|dose2	HPV45	FcgR2A	2.0	3.2861049111250797	0.000667443873072	0.0	1.0	3.2861049111250793	0.000986237411292673	sensitivity_supported
within|HPV45|FcgR2A|dose3	HPV45	FcgR2A	3.0	3.535896797004563	0.0010407841871088	0.0	1.0	3.9970775697547984	1.3602320198875479e-05	sensitivity_supported
within|HPV45|FcgR2B|dose0	HPV45	FcgR2B	0.0	0.9364258095148028	0.0755138293628063	-0.05	1.0	1.1229968343036834	0.02720177235505373	continuous_result_not_fdr_significant
within|HPV45|FcgR2B|dose1	HPV45	FcgR2B	1.0	4.793248138353397	5.387771589675224e-06	0.3	0.16666666666666666	3.2932502074203365	1.3602320198875479e-05	sensitivity_supported
within|HPV45|FcgR2B|dose2	HPV45	FcgR2B	2.0	4.684634540440045	7.501696109642757e-06	0.23809523809523808	0.2222222222222222	3.5867409816083553	3.9564265363803274e-05	sensitivity_supported
within|HPV45|FcgR2B|dose3	HPV45	FcgR2B	3.0	3.4406681622974955	9.943195297809123e-06	0.05263157894736842	1.0	3.267935997757522	2.7889682975314225e-06	sensitivity_supported
within|HPV45|FcgR3A|dose0	HPV45	FcgR3A	0.0	1.279967226680486	0.0355261867803397	0.1	0.8695652173913043	1.3995013182203417	0.046363442091983544	sensitivity_supported
within|HPV45|FcgR3A|dose1	HPV45	FcgR3A	1.0	6.018662477327074	3.432737748205612e-06	0.45	0.08333333333333333	3.373152155456596	0.001017826988611104	sensitivity_supported
within|HPV45|FcgR3A|dose2	HPV45	FcgR3A	2.0	5.7771702456410985	1.6668843604306274e-07	0.3333333333333333	0.125	4.430251740368671	1.934472949082169e-05	sensitivity_supported
within|HPV45|FcgR3A|dose3	HPV45	FcgR3A	3.0	4.358099361223715	2.245724906850924e-05	0.21052631578947367	0.32	3.374014388800801	4.624677202167253e-05	sensitivity_supported
within|HPV45|IgA2|dose0	HPV45	IgA2	0.0	-1.4188406596585104	0.3124413154403235	-0.2	0.515625	-0.11967307917363978	0.7793986503071596	continuous_result_not_fdr_significant
within|HPV45|IgA2|dose1	HPV45	IgA2	1.0	0.9263233621139648	0.5833218482475434	0.1	0.871875	-0.00034719568005631997	0.6346308036127454	continuous_result_not_fdr_significant
within|HPV45|IgA2|dose2	HPV45	IgA2	2.0	-0.3327411514153591	0.7140063926963462	-0.047619047619047616	1.0	0.2552597591839376	0.6845218767647	continuous_result_not_fdr_significant
within|HPV45|IgA2|dose3	HPV45	IgA2	3.0	-0.0691334701849868	0.963622421246938	-0.05263157894736842	1.0	0.8553653780246854	0.3613686841540715	continuous_result_not_fdr_significant
within|HPV45|IgG2|dose0	HPV45	IgG2	0.0	-0.4077212150045193	0.741977992966963	0.05	1.0	-0.6813464314192637	0.6752721082667139	continuous_result_not_fdr_significant
within|HPV45|IgG2|dose1	HPV45	IgG2	1.0	1.9789670754065696	0.0114255294225792	0.2	0.25	2.9436148137676077	0.21394997769989144	not_supported_after_floor_sensitivity
within|HPV45|IgG2|dose2	HPV45	IgG2	2.0	2.7012734875132223	0.0007364318141165	0.23809523809523808	0.14705882352941177	2.413589611665572	0.01398454478689616	sensitivity_supported
within|HPV45|IgG2|dose3	HPV45	IgG2	3.0	1.0121173061502902	0.1959974839161593	0.05263157894736842	1.0	0.7642033825956573	0.5658364492966405	continuous_result_not_fdr_significant
within|HPV52|FcgR2A|dose0	HPV52	FcgR2A	0.0	-1.1713866022990291	0.5194036867558287	0.0	1.0	-2.1629555086668275	0.405403531551837	continuous_result_not_fdr_significant
within|HPV52|FcgR2A|dose1	HPV52	FcgR2A	1.0	4.956728302507235	0.0005283287499582	0.35	0.17857142857142858	4.125761929063379	0.0077314499993538476	sensitivity_supported
within|HPV52|FcgR2A|dose2	HPV52	FcgR2A	2.0	2.706832268109981	0.0093452663022513	0.09523809523809523	0.7619047619047619	2.004337131433963	0.038967571484851644	sensitivity_supported
within|HPV52|FcgR2A|dose3	HPV52	FcgR2A	3.0	3.730942200292192	0.001015212251142	0.10526315789473684	0.8695652173913043	3.773671567038367	3.390271351486784e-05	sensitivity_supported
within|HPV52|FcgR2B|dose0	HPV52	FcgR2B	0.0	0.7677191859783923	0.5732298469169295	0.05	1.0	2.2640639377980043	0.12020886492166732	continuous_result_not_fdr_significant
within|HPV52|FcgR2B|dose1	HPV52	FcgR2B	1.0	5.072012448298682	0.0004486440086586	0.35	0.17857142857142858	3.736179728745457	0.0012904082716649373	sensitivity_supported
within|HPV52|FcgR2B|dose2	HPV52	FcgR2B	2.0	3.817029098287597	2.517322797282496e-05	0.19047619047619047	0.32	3.088871313699021	3.9564265363803274e-05	sensitivity_supported
within|HPV52|FcgR2B|dose3	HPV52	FcgR2B	3.0	3.9525569713179705	6.459060051073884e-06	0.21052631578947367	0.32	3.856995383673443	3.074815913180765e-05	sensitivity_supported
within|HPV52|FcgR3A|dose0	HPV52	FcgR3A	0.0	0.3772928197263262	0.629138412349363	0.0	1.0	0.44387390556038375	0.5361624819218498	continuous_result_not_fdr_significant
within|HPV52|FcgR3A|dose1	HPV52	FcgR3A	1.0	5.692508219630346	5.387771589675224e-06	0.35	0.125	3.7357493805296165	0.000685015122692871	sensitivity_supported
within|HPV52|FcgR3A|dose2	HPV52	FcgR3A	2.0	4.787867908517309	1.178699203387199e-05	0.2857142857142857	0.16666666666666666	2.89614917861562	4.624677202167253e-05	sensitivity_supported
within|HPV52|FcgR3A|dose3	HPV52	FcgR3A	3.0	4.106362138532975	5.910545640726452e-06	0.15789473684210525	0.5161290322580645	3.7268941176775585	2.1922330793454963e-05	sensitivity_supported
within|HPV52|IgA1|dose0	HPV52	IgA1	0.0	1.0713536639138437	0.0102876992869025	0.0	1.0	1.1277406988566774	0.03104018808838401	sensitivity_supported
within|HPV52|IgA1|dose1	HPV52	IgA1	1.0	2.050698106177875	0.0333241362558821	0.2	0.21428571428571427	0.5175436077324822	0.3683136832575697	not_supported_after_floor_sensitivity
within|HPV52|IgA1|dose2	HPV52	IgA1	2.0	1.2960559603639987	0.0492467785908425	0.14285714285714285	0.391304347826087	0.7215186282579399	0.3313859509504933	not_supported_after_floor_sensitivity
within|HPV52|IgA1|dose3	HPV52	IgA1	3.0	0.2504407937538809	0.5527710134204906	0.10526315789473684	0.6206896551724138	-0.003682413171263125	0.9924937136130922	continuous_result_not_fdr_significant
within|HPV52|IgA2|dose0	HPV52	IgA2	0.0	3.571645274820687	0.0002494718632155	-0.15	0.5192307692307693	4.418606677355647	0.001949534405638982	sensitivity_supported
within|HPV52|IgA2|dose1	HPV52	IgA2	1.0	1.124350732154068	0.1054408751735943	-0.35	0.05625	2.0535744622084855	0.06190705828236606	continuous_result_not_fdr_significant
within|HPV52|IgA2|dose2	HPV52	IgA2	2.0	0.4172285805384668	0.6009819140085314	-0.42857142857142855	0.03515625	1.4642303638522554	0.20394330968790456	continuous_result_not_fdr_significant
within|HPV52|IgA2|dose3	HPV52	IgA2	3.0	-1.2764390407390132	0.2101640811133253	-0.3684210526315789	0.05625	-0.6497110804256855	0.657828400096035	continuous_result_not_fdr_significant
within|HPV52|IgG2|dose0	HPV52	IgG2	0.0	-0.1840817662334134	0.8460604444422937	0.0	1.0	0.035559835147415564	0.9826570563855771	continuous_result_not_fdr_significant
within|HPV52|IgG2|dose1	HPV52	IgG2	1.0	1.9257523427772696	0.0029104354778932	0.25	0.14705882352941177	1.298227348218459	0.04997815630554496	sensitivity_supported
within|HPV52|IgG2|dose2	HPV52	IgG2	2.0	3.6433666444970663	9.347583242285438e-06	0.38095238095238093	0.034722222222222224	2.837768358475586	0.005925622852021885	sensitivity_supported
within|HPV52|IgG2|dose3	HPV52	IgG2	3.0	1.532312892677406	0.1169774295475119	0.15789473684210525	0.43478260869565216	0.45082395994694713	0.69633970890526	continuous_result_not_fdr_significant
within|HPV58|FcgR2A|dose0	HPV58	FcgR2A	0.0	-0.1333733058759735	0.922892477127598	0.25	0.2222222222222222	-2.658099045831404	0.03217442704813894	continuous_result_not_fdr_significant
within|HPV58|FcgR2A|dose1	HPV58	FcgR2A	1.0	4.423546303399879	0.0014496293936882	0.25	0.2222222222222222	3.180028934999945	0.0300051829896774	sensitivity_supported
within|HPV58|FcgR2A|dose2	HPV58	FcgR2A	2.0	2.810645944980559	0.0017239226964541	0.09523809523809523	0.7619047619047619	2.245716973123975	0.007890082175875597	sensitivity_supported
within|HPV58|FcgR2A|dose3	HPV58	FcgR2A	3.0	3.665671163616598	0.0005035214203776	0.05263157894736842	1.0	3.531718695092474	0.0013662394132982153	sensitivity_supported
within|HPV58|FcgR3A|dose0	HPV58	FcgR3A	0.0	0.8332113437185569	0.1248195442849991	-0.1	0.7619047619047619	1.4457729791599727	0.005462556661410974	continuous_result_not_fdr_significant
within|HPV58|FcgR3A|dose1	HPV58	FcgR3A	1.0	6.358503677251621	5.987224594016586e-07	0.5	0.0625	3.8045795341358293	0.0013662394132982153	sensitivity_supported
