antigen_target	antigen_class	feature	assay_family	previous_4vHPV_doses	participant_feature_records	paired_participants	visit1_observed	visit2_observed	median_log2_change	mean_log2_change	sd_log2_change	median_raw_change	positive_log2_change_fraction	paired_fraction
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	2	21	21	21	21	0.49394302816555946	0.5422053969189771	0.3994763553117334	17.948681999999998	0.9047619047619048	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	3	19	19	19	19	0.5986833758258499	0.5784068464920958	0.305271600853326	21.973444999999998	1.0	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	0	20	20	20	20	-1.8008827550009916	-0.2611112047756546	7.943008936528075	-56.75	0.5	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	1	20	20	20	20	0.8692526114930184	0.8958040903443283	3.1524585139011014	871.35	0.8	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	2	21	21	21	21	0.7736750479601096	1.0042553362674749	1.4008838132573154	1054.0	0.8571428571428571	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	3	19	19	19	19	0.762745620831673	0.9186035115024986	1.8437960965335525	949.5	0.9473684210526315	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	0	20	20	20	20	2.692475728752717	2.7267247914123183	1.740464090654508	489.15	1.0	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	1	20	20	20	20	1.288777788427038	1.6919230319383836	2.242626693315421	697.4	0.85	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	2	21	21	21	21	1.066277911484196	1.8022903212460695	2.378411691552894	846.3000000000002	0.9047619047619048	1.0
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	3	19	19	19	19	0.8554848686771841	0.7096571094511233	1.5350593178607432	676.8	0.8421052631578947	1.0
