antigen_target	antigen_class	visit	feature	assay_family	minimum	minimum_count	minimum_fraction	floor_severity	discrete_titer_or_ordinal_assay
HPV33	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	1.0	5	0.0625	low	no
HPV33	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	1.0	2	0.025	none	no
HPV33	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	6.5	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	1.0	33	0.4125	high	no
HPV33	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	1.0	13	0.1625	moderate	no
HPV33	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	1.0	3	0.0375	none	no
HPV33	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	1.0	2	0.025	none	no
HPV33	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	1.0	41	0.5125	high	no
HPV33	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	1.0	31	0.3875	high	no
HPV33	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	76.0	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	92.8	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	10.3	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	92.3	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	1.0	28	0.35	high	no
HPV33	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	1.0	25	0.3125	high	no
HPV33	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	1.0	2	0.025	none	no
HPV33	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	1.0	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	0.2999999999999971	2	0.025	none	no
HPV33	cross_reactive_non_booster_target	v1	IgM	antibody_isotype_or_subclass	531.0	1	0.0125	none	no
HPV33	cross_reactive_non_booster_target	v2	IgM	antibody_isotype_or_subclass	470.0	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	1.0	14	0.175	moderate	no
HPV45	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	1.0	17	0.2125	moderate	no
HPV45	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	1.0	15	0.1875	moderate	no
HPV45	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	1.0	4	0.05	low	no
HPV45	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	1.0	26	0.325	high	no
HPV45	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	1.0	4	0.05	low	no
HPV45	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	1.0	3	0.0375	none	no
HPV45	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	59.5	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	1.0	31	0.3875	high	no
HPV45	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	1.0	35	0.4375	high	no
HPV45	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	52.0	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	63.5	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	22.3	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	55.3	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	1.0	40	0.5	high	no
HPV45	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	1.0	29	0.3625	high	no
HPV45	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	1.0	5	0.0625	low	no
HPV45	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	1.0	3	0.0375	none	no
HPV45	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	0.7999999999999972	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	0.2000000000000028	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v1	IgM	antibody_isotype_or_subclass	187.8	1	0.0125	none	no
HPV45	cross_reactive_non_booster_target	v2	IgM	antibody_isotype_or_subclass	189.5	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	1.0	27	0.3375	high	no
HPV52	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	1.0	16	0.2	moderate	no
HPV52	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	1.0	31	0.3875	high	no
HPV52	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	1.0	15	0.1875	moderate	no
HPV52	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	1.0	20	0.25	moderate	no
HPV52	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	1.0	4	0.05	low	no
HPV52	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	1.0	14	0.175	moderate	no
HPV52	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	1.0	5	0.0625	low	no
HPV52	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	1.0	27	0.3375	high	no
HPV52	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	63.3	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	112.5	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	7.3	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	42.5	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	1.0	33	0.4125	high	no
HPV52	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	1.0	17	0.2125	moderate	no
HPV52	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	1.0	7	0.0875	low	no
HPV52	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	1.0	3	0.0375	none	no
HPV52	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	0.2999999999999971	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v1	IgM	antibody_isotype_or_subclass	157.8	1	0.0125	none	no
HPV52	cross_reactive_non_booster_target	v2	IgM	antibody_isotype_or_subclass	171.5	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	1.0	16	0.2	moderate	no
HPV58	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	1.0	3	0.0375	none	no
HPV58	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	1.0	6	0.075	low	no
HPV58	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	1.0	3	0.0375	none	no
HPV58	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	1.0	26	0.325	high	no
HPV58	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	1.0	7	0.0875	low	no
HPV58	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	31.0	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	43.0	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	1.0	41	0.5125	high	no
HPV58	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	1.0	28	0.35	high	no
HPV58	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	64.0	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	79.5	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	10.3	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	91.8	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	0.5	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	1.0	4	0.05	low	no
HPV58	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	1.0	2	0.025	none	no
HPV58	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	0.2000000000000028	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v2	IgG4	antibody_isotype_or_subclass	0.2000000000000028	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v1	IgM	antibody_isotype_or_subclass	581.0	1	0.0125	none	no
HPV58	cross_reactive_non_booster_target	v2	IgM	antibody_isotype_or_subclass	370.5	1	0.0125	none	no
