antigen_target	antigen_class	feature	assay_family	outcome_family	primary_participants	recall_participants	primary_mean_log2_change	recall_mean_log2_change	primary_geometric_mean_ratio	recall_geometric_mean_ratio	primary_minus_recall_log2_change	difference_standard_error	ci95_lower_primary_minus_recall	ci95_upper_primary_minus_recall	ratio_of_geometric_mean_ratios	ratio_ci95_lower	ratio_ci95_upper	maximum_floor_severity
HPV18	vaccine_target_2vHPV_and_4vHPV	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.2462005357836608	1.9169343712653777	0.8431139085859541	3.7761978920455164	-2.1631349070490384	0.6410795168162386	-3.453801594283439	-0.8724682198146378	0.2232705839812994	0.09126455090213727	0.5462115704136234	high
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	-0.18342677287726056	0.9351705419517937	0.8806088370426944	1.9121166544249535	-1.1185973148290542	1.8929828514341658	-5.068003738306373	2.830809108648265	0.4605413770152675	0.029811158707940325	7.1147304947467696	low
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	2.7687396933893913	1.431307366528175	6.815122991610868	2.6969099795964326	1.3374323268612163	0.49802679675105044	0.32896179396618463	2.345902859756248	2.5270116700857352	1.2561091159132036	5.08378444185318	none
HPV18	vaccine_target_2vHPV_and_4vHPV	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	3.8067782894436752	2.0969629125398064	13.994405440334917	4.2780783732737255	1.7098153769038689	0.6646924610466032	0.3739008053763093	3.045729948431428	3.271189590111679	1.2958518641655574	8.257642428400212	low
HPV18	vaccine_target_2vHPV_and_4vHPV	ADCP	antibody_dependent_cellular_phagocytosis	Phagocytic function	20	60	0.6181995887552679	0.6913893718932369	1.5349584341901366	1.6148379220859355	-0.07318978313796898	0.1014175893889716	-0.27851718262035186	0.13213761634441393	0.9505340524870657	0.8244379480837186	1.095916299143638	none
HPV18	vaccine_target_2vHPV_and_4vHPV	nAb	neutralizing_antibody	Neutralization	20	60	3.900000000000001	5.5	14.928527864588927	45.254833995939045	-1.5999999999999992	0.5596396614776162	-2.7488861361893138	-0.4511138638106844	0.32987697769322377	0.14876570281577411	0.7314778766364772	high
HPV31	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	2.0329573073070186	3.8061447114462132	4.09242877268495	13.988260967331687	-1.7731874041391946	0.6702765963480325	-3.1484926057326517	-0.39788220254573736	0.29256165453607463	0.11277407784375168	0.758971594726525	none
HPV31	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	60	1.5753647784969118	1.3561379444719899	2.980108337042	2.5599895914954596	0.21922683402492193	0.38899952396897114	-0.5692466081274514	1.0077002761772953	1.1641095522193594	0.6739686506994921	2.0107033882983827	none
HPV31	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	60	2.4189533227667677	3.3732544662129067	5.347828954133434	10.362171535772076	-0.954301143446139	0.7033703268859214	-2.3927821171701975	0.48417983027791944	0.5160915292389987	0.19041484766893463	1.3987904294907683	low
HPV31	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	60	3.4641104511711225	4.530956993026195	11.035732225992557	23.118197199285973	-1.0668465418550728	1.2553926279919785	-3.6266295234124666	1.492936439702321	0.47736128084993606	0.0809609751167861	2.814612745535536	high
HPV31	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	60	1.9731375636557327	3.5142945474891687	3.926210609050766	11.426364460329381	-1.541156983833436	0.6297043998702551	-2.8311076540871385	-0.25120631357973333	0.34360978268127007	0.14052437913407195	0.8401935911890652	none
HPV31	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.23522945806085724	3.0659441682627655	0.8495498690086112	8.37415817285987	-3.3011736263236227	0.6957972734182726	-4.7045087057407	-1.8978385469065455	0.1014489876441491	0.03835321408960019	0.2683451006212658	high
HPV31	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	60	1.6810237828465269	6.038910838254478	3.2065541772492256	65.7496285221701	-4.357887055407951	1.1137184663404547	-6.637767514829267	-2.078006595986635	0.048769160363666665	0.010042292660814378	0.2368414348107792	none
HPV31	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.0070546159617299155	1.9042016730876277	0.9951220488712177	3.743017187880221	-1.9112562890493576	0.2970768088065975	-2.503274427956608	-1.319238150142107	0.2658609348878742	0.17637592718874356	0.4007465067713928	high
HPV31	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	-1.0157618476208332	2.8028421954640326	0.4945670919421334	6.978138323304603	-3.818604043084866	1.6376327190548057	-7.204673702121674	-0.43253438404805733	0.0708737873954788	0.00677917908356965	0.7409589978163795	low
HPV31	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	2.3336024071487924	3.723511843656813	5.040624227431785	13.209572236453065	-1.3899094365080207	0.8277092964851693	-3.0707159675121183	0.2908970944960767	0.38158875527564057	0.11902066860672585	1.2234007744818218	moderate
HPV31	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	2.0160363294119827	4.370610241364992	4.044710174515821	20.686393517098697	-2.3545739119530094	0.7446039279416674	-3.8626681090263157	-0.846479714879703	0.19552514899093434	0.0687418215207155	0.5561401057201598	moderate
HPV33	cross_reactive_non_booster_target	IgG	antibody_isotype_or_subclass	Antibody abundance	20	60	0.43412351303267754	1.791769796731341	1.3510897500397925	3.4623937420182775	-1.3576462836986636	0.31488691151861703	-1.9942132422313104	-0.7210793251660168	0.39021840111466455	0.2510047824897273	0.6066434235161121	none
HPV33	cross_reactive_non_booster_target	IgM	antibody_isotype_or_subclass	Antibody abundance	20	60	0.23385382390892556	0.11847249875841209	1.1759720929446666	1.085584854845508	0.11538132515051347	0.12504486246669103	-0.13868175558711798	0.3694444058881449	1.0832613293154518	0.9083487684754092	1.2918552304087232	none
HPV33	cross_reactive_non_booster_target	IgA1	antibody_isotype_or_subclass	Antibody abundance	20	60	1.3008390024516268	1.2280976815037075	2.463721192591599	2.342578967605823	0.0727413209479193	0.5674103035905959	-1.0784122515066716	1.2238948934025102	1.0517131873294272	0.47354969867875085	2.3357646124340277	none
HPV33	cross_reactive_non_booster_target	IgA2	antibody_isotype_or_subclass	Antibody abundance	20	60	2.5550310632465476	1.3571525090952028	5.876801067515869	2.561790518422484	1.1978785541513448	0.772708982988253	-0.37719622151050647	2.772953329813196	2.2940209299918575	0.7699324483042429	6.83505681418065	high
HPV33	cross_reactive_non_booster_target	IgG1	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.3666587836314151	1.6778785977425024	1.2893632632058072	3.1995712592567354	-1.3112198141110873	0.20486872895139693	-1.721037682874563	-0.9014019453476115	0.4029800116110956	0.3033304670341617	0.5353662338830927	none
HPV33	cross_reactive_non_booster_target	IgG2	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.340542911336152	0.7216420762396522	1.2662330099153638	1.6490579253438615	-0.38109916490350015	0.6039477357011136	-1.5969281229839978	0.8347297931769974	0.767852354035004	0.3305801208236025	1.7835229660155698	high
HPV33	cross_reactive_non_booster_target	IgG3	antibody_isotype_or_subclass	IgG subclass architecture	20	60	0.49865029982285325	1.805924492660372	1.4128911264760762	3.496531476438531	-1.3072741928375187	0.5545029757368339	-2.4245387331934163	-0.19000965248162105	0.4040836285893263	0.1862692284462657	0.8765998563258132	none
HPV33	cross_reactive_non_booster_target	IgG4	antibody_isotype_or_subclass	IgG subclass architecture	20	60	-0.1383134481543283	0.19839910600711572	0.9085806915784878	1.1474244028974319	-0.336712554161444	0.4089069368781005	-1.1540202998239608	0.4805951915010728	0.7918436188773524	0.449371240263576	1.3953191939675738	none
HPV33	cross_reactive_non_booster_target	FcgR2A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	-0.5411164284058568	3.0570026982806513	0.6872388839810005	8.322417697625971	-3.598119126686508	0.9895108488379275	-5.6149226761055635	-1.5813155772674525	0.08257683151099714	0.020405152795654427	0.33417701747608586	moderate
HPV33	cross_reactive_non_booster_target	FcgR2B	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	0.9672134974712734	1.551787009604872	1.9550608314251574	2.9318006498727467	-0.5845735121335986	0.4165808028537746	-1.4308603657349408	0.2617133414677435	0.66684644179679	0.3709096309895266	1.1989016724928239	none
HPV33	cross_reactive_non_booster_target	FcgR3A	fc_gamma_receptor_binding	Fc-receptor engagement	20	60	0.6679077505291315	3.2677149972023334	1.5887672072595758	9.631196229824805	-2.599807246673202	0.6058014849951577	-3.8306451370746086	-1.3689693562717955	0.1649605271606511	0.07028471869957356	0.38716773751966393	high
