analysis_layer	predictor_representation	antigen_target	analysis_stratum	predictor_feature	functional_outcome	feature_pair	participants	spearman_rho	spearman_p_value	correlation_status	correlation_direction	correlation_strength	predictor_floor_severity	outcome_floor_severity	pair_maximum_floor_severity	floor_sensitive_pair	bh_q_value	fdr_significant
predictor_function	raw_predictor	HPV18	all_participants	IgG1	nAb	IgG1__nAb	80	0.3037182070236916	0.006166358644232673	estimated	positive	weak	none	high	high	True	0.01849907593269802	True
predictor_function	raw_predictor	HPV18	all_participants	IgG3	nAb	IgG3__nAb	80	0.2261322462899398	0.043699317183076944	estimated	positive	weak	none	high	high	True	0.08739863436615389	False
predictor_function	raw_predictor	HPV18	all_participants	FcgR2A	nAb	FcgR2A__nAb	80	0.16706741369974126	0.1385505414482384	estimated	positive	very_weak	low	high	high	True	0.16626064973788607	False
predictor_function	raw_predictor	HPV18	all_participants	FcgR2B	nAb	FcgR2B__nAb	80	0.0994552749961906	0.3800882820221516	estimated	positive	very_weak	none	high	high	True	0.3800882820221516	False
predictor_function	raw_predictor	HPV18	all_participants	FcgR3A	nAb	FcgR3A__nAb	80	0.18511696633359231	0.10019283622400188	estimated	positive	very_weak	low	high	high	True	0.15028925433600282	False
predictor_function	raw_predictor	HPV18	primary_dose0	IgG	ADCP	IgG__ADCP	20	0.47368421052631576	0.034879991379496524	estimated	positive	moderate	none	none	none	False	0.06975998275899305	False
predictor_function	raw_predictor	HPV18	primary_dose0	IgG1	ADCP	IgG1__ADCP	20	0.5383458646616541	0.01433546239679361	estimated	positive	moderate	none	none	none	False	0.04499138893089781	True
predictor_function	raw_predictor	HPV18	primary_dose0	IgG3	ADCP	IgG3__ADCP	20	0.5353383458646617	0.014997129643632603	estimated	positive	moderate	none	none	none	False	0.04499138893089781	True
predictor_function	raw_predictor	HPV18	primary_dose0	FcgR2A	ADCP	FcgR2A__ADCP	20	0.03609022556390977	0.8799311955207728	estimated	positive	very_weak	low	none	low	False	0.8799311955207728	False
predictor_function	raw_predictor	HPV18	primary_dose0	FcgR2B	ADCP	FcgR2B__ADCP	20	0.3533834586466165	0.12640665077932206	estimated	positive	weak	none	none	none	False	0.15168798093518646	False
predictor_function	raw_predictor	HPV18	primary_dose0	FcgR3A	ADCP	FcgR3A__ADCP	20	0.4360902255639097	0.054584099673222065	estimated	positive	moderate	low	none	low	False	0.0818761495098331	False
predictor_function	raw_predictor	HPV18	primary_dose0	IgG	nAb	IgG__nAb	20	0.6824926087042867	0.0009146400119252367	estimated	positive	strong	none	high	high	True	0.005487840071551421	True
predictor_function	raw_predictor	HPV18	primary_dose0	IgG1	nAb	IgG1__nAb	20	0.6291132985262978	0.002961540072638351	estimated	positive	strong	none	high	high	True	0.008884620217915053	True
predictor_function	raw_predictor	HPV18	primary_dose0	IgG3	nAb	IgG3__nAb	20	0.19979113238047275	0.39837617821857074	estimated	positive	very_weak	none	high	high	True	0.6003244413656609	False
predictor_function	raw_predictor	HPV18	primary_dose0	FcgR2A	nAb	FcgR2A__nAb	20	0.13268571387100098	0.577079227251952	estimated	positive	very_weak	low	high	high	True	0.6449006236307331	False
predictor_function	raw_predictor	HPV18	primary_dose0	FcgR2B	nAb	FcgR2B__nAb	20	0.10980886665186289	0.6449006236307331	estimated	positive	very_weak	none	high	high	True	0.6449006236307331	False
predictor_function	raw_predictor	HPV18	primary_dose0	FcgR3A	nAb	FcgR3A__nAb	20	0.1990285708065015	0.4002162942437739	estimated	positive	very_weak	low	high	high	True	0.6003244413656609	False
predictor_function	raw_predictor	HPV18	recall_all_doses	IgG	ADCP	IgG__ADCP	60	0.6782995276465685	2.6068735316791207e-09	estimated	positive	strong	none	none	none	False	7.820620595037362e-09	True
predictor_function	raw_predictor	HPV18	recall_all_doses	IgG1	ADCP	IgG1__ADCP	60	0.6984717977215894	5.484100079022197e-10	estimated	positive	strong	none	none	none	False	3.2904600474133184e-09	True
predictor_function	raw_predictor	HPV18	recall_all_doses	IgG3	ADCP	IgG3__ADCP	60	0.21250347318699644	0.10308119165271161	estimated	positive	weak	none	none	none	False	0.10308119165271161	False
predictor_function	raw_predictor	HPV18	recall_all_doses	FcgR2A	ADCP	FcgR2A__ADCP	60	0.32086690747429847	0.012432684285615173	estimated	positive	weak	low	none	low	False	0.01617580247815097	True
predictor_function	raw_predictor	HPV18	recall_all_doses	FcgR2B	ADCP	FcgR2B__ADCP	60	0.3173659349819395	0.013479835398459143	estimated	positive	weak	none	none	none	False	0.01617580247815097	True
predictor_function	raw_predictor	HPV18	recall_all_doses	FcgR3A	ADCP	FcgR3A__ADCP	60	0.483523200889136	9.093937587933333e-05	estimated	positive	moderate	low	none	low	False	0.00018187875175866667	True
predictor_function	raw_predictor	HPV18	recall_all_doses	IgG	nAb	IgG__nAb	60	0.48638064691179367	8.14417824298089e-05	estimated	positive	moderate	none	high	high	True	0.0002443253472894267	True
