model_id	model_family	contrast_type	contrast_label	previous_4vHPV_doses	antigen_target	antigen_class	feature	assay_family	outcome_family	maximum_floor_severity	fit_method	estimate_log2	standard_error	ci95_lower	ci95_upper	test_statistic	p_value	ratio_effect	ratio_ci95_lower	ratio_ci95_upper	bh_family	q_value	fdr_significant_0_05
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose3_minus_dose2_change		BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.5659756184837367	0.7733622914899135	-0.949786619837861	2.081737856805334	0.7318376195888241	0.4642676844667887	1.4803882792574317	0.5177090274207428	4.233168326774615	HPVVT-FJ-M06|Antibody abundance|recall_dose_contrast	0.6190235792890516	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose0_v2_minus_v1	0.0	BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.9966010300604478	0.5461657307144857	-0.0738641317299457	2.067066191850841	1.8247227425944677	0.0680428794937451	1.9952935734547064	0.9500898549968726	4.190336759550767	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.21773721437998433	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose1_v2_minus_v1	1.0	BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.2741076056527221	0.5461657307144889	-0.7963575561376779	1.344572767443122	0.5018762442201143	0.6157545766503691	1.209245865952878	0.5758010975044181	2.5395498040239595	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.8795511131220441	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose2_v2_minus_v1	2.0	BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	0.5867816619183206	0.5330031764462588	-0.4578853675617944	1.6314486913984356	1.1008971200333626	0.2709414356430879	1.5018926126730492	0.7280526211886537	3.0982395425198024	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.48167366336548967	no
HPVVT-FJ-M06	Heterologous BPV control	within_trajectory	dose3_v2_minus_v1	3.0	BPV	heterologous_control_antigen	IgA1	antibody_isotype_or_subclass	Antibody abundance	low	mixedlm_powell	1.1527572804020574	0.5603542163638355	0.0544831977437747	2.25103136306034	2.0571939083145527	0.0396675772855551	2.223384220504504	1.038487029807896	4.760230267779924	HPVVT-FJ-M06|Antibody abundance|within_trajectory	0.1586703091422204	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose2_minus_dose1_at_v1		BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	0.3453919085986495	0.9883137796468844	-1.5916675049338989	2.2824513221311977	0.3494759616951359	0.7267320143300644	1.2704960663542362	0.3317877428017837	4.865038837754526	HPVVT-FJ-M06|Antibody abundance|persistence_dose_contrast	0.8851104168542925	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose3_minus_dose1_at_v1		BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	0.6809538945705415	1.0133700686714535	-1.3052149430363889	2.6671227321774715	0.6719696146771774	0.5016030404022047	1.6031994231759203	0.4046608145169398	6.351611765373957	HPVVT-FJ-M06|Antibody abundance|persistence_dose_contrast	0.8851104168542925	no
HPVVT-FJ-M06	Heterologous BPV control	persistence_dose_contrast	dose3_minus_dose2_at_v1		BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	0.3355619859718919	1.0015464945700376	-1.6274330722277226	2.298557044171506	0.3350438424887585	0.7375920140452437	1.261868860229057	0.3236635768928252	4.919654647897072	HPVVT-FJ-M06|Antibody abundance|persistence_dose_contrast	0.8851104168542925	no
HPVVT-FJ-M06	Heterologous BPV control	primary_minus_pooled_recall	dose0_minus_mean_dose1_2_3_change		BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	0.6454460079577689	0.6239869808648079	-0.5775460013591385	1.868438017274676	1.0343901840118843	0.3009537914523017	1.5642227896750314	0.6701026412159177	3.651370380064421	HPVVT-FJ-M06|Antibody abundance|primary_minus_pooled_recall	0.4129337099416621	no
HPVVT-FJ-M06	Heterologous BPV control	recall_dose_contrast	dose2_minus_dose1_change		BPV	heterologous_control_antigen	IgA2	antibody_isotype_or_subclass	Antibody abundance	high	mixedlm_lbfgs	0.659781100693849	0.7549144794292271	-0.8198240903952396	2.1393862917829374	0.8739812504228212	0.3821284645700481	1.5798428968672948	0.5665110138309598	4.405745904044849	HPVVT-FJ-M06|Antibody abundance|recall_dose_contrast	0.6190235792890516	no
