antigen_target	antigen_class	outcome_family	assay_family	feature	dose1_persistence_mean_log2	dose2_persistence_mean_log2	dose3_persistence_mean_log2
HPV45	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	2.457707939024538	3.4910081533843154	4.347219931277363
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	8.091989672172595	8.764785060564174	8.822225324650494
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	1.8040636147803333	1.8244887535714223	4.857275172684536
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	5.655063669809687	6.178105520216316	6.430681392553336
HPV45	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	2.2843963204451114	2.0317351227370235	1.9244638805692194
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	6.743578986380077	6.500655317480638	6.282530896162737
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	3.8849223253083296	2.9738731622473	5.021975682164123
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	9.185577598463617	10.369009959156065	9.779995984785657
HPV52	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	9.813702835296777	9.697946961374523	9.219156586567694
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	3.220551774564637	6.628941608186267	5.58565986177224
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	3.761809769168535	4.653178686380305	3.9592013571741034
HPV52	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	3.193372835503602	4.228311106132798	4.410510983174983
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	8.093269387684071	9.199002182062877	8.983016961067968
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	3.07774464268329	2.112996192031882	4.324015000746188
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	6.022251098898552	7.151066905850278	7.043316773938202
HPV52	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.9306998300545765	0.6272130447478749	0.3890693380409874
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA1	8.120298016928576	9.139579857896683	8.76520093866191
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgA2	1.8591348474534928	4.260366792930972	5.231494742493157
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgG	8.89431800593336	10.472818179168737	10.466364112814803
HPV58	cross_reactive_non_booster_target	Antibody abundance	antibody_isotype_or_subclass	IgM	10.841915619687065	10.767445894051404	10.861771807289552
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2A	3.1033338756732745	6.275762346247733	5.85810307040526
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR2B	4.996834284844407	5.5949289500926405	6.29651084135897
HPV58	cross_reactive_non_booster_target	Fc-receptor engagement	fc_gamma_receptor_binding	FcgR3A	2.0004901534961865	3.577963061629789	3.840391150539118
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG1	7.786163923108106	9.31394504631284	9.451266578448173
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG2	2.1857043027868315	3.70475068179959	5.514273990971875
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG3	5.951415162705872	6.799314146260055	7.404074226225616
HPV58	cross_reactive_non_booster_target	IgG subclass architecture	antibody_isotype_or_subclass	IgG4	0.8713197772717475	1.3803077112536946	0.7652762708550329
