mechanistic_axis	metric	raw_effect	raw_q_value	bpv_calibrated_effect	bpv_calibrated_q_value	analysis_type	bpv_calibration_status	comparison
fc_receptor_communication	mean_cross_reactive_score	0.336509466524646	0.91443560759529	0.41905677392363794	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
fc_receptor_communication	median_cross_reactive_score	-1.199474979562961	0.4913473132699374	-1.2879551915312915	0.2685148629158725	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
fc_receptor_communication	median_cross_reactive_score	-1.2472163162831382	0.18977186124181547	-1.199301310844318	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
fc_receptor_communication	median_cross_reactive_score	-0.04774133672017733	0.9108839511975533	0.08865388068697344	0.9127359416182443	recall_dose_pairwise	direction_changed_after_bpv_calibration	dose3_minus_dose2
fc_receptor_communication	minimum_cross_reactive_score	-0.5839280310157366	0.49156837853985724	-0.8478361021105145	0.2685148629158725	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
fc_receptor_communication	minimum_cross_reactive_score	-0.5059808154867713	0.3280627450767878	-0.15931944578274293	0.2730275071594345	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
fc_receptor_communication	minimum_cross_reactive_score	0.07794721552896533	0.9783927640008413	0.6885166563277716	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
fc_receptor_communication	positive_antigen_count	0.0	0.4913473132699374	0.0	0.2518165913532442	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
fc_receptor_communication	positive_antigen_count	0.0	1.0	0.0	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
fc_receptor_communication	positive_antigen_count	0.0	0.3772399421954749	0.0	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
fc_receptor_communication	twofold_antigen_count	0.0	0.4913473132699374	-2.0	0.2685148629158725	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
fc_receptor_communication	twofold_antigen_count	0.0	0.48818039432569016	0.0	0.9631993437776295	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
fc_receptor_communication	twofold_antigen_count	0.0	0.91443560759529	2.0	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
global_shared_serology	cross_antigen_standard_deviation	-0.16505428130294642	0.4913473132699374	-0.16505428130294664	0.33857463096578694	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
global_shared_serology	cross_antigen_standard_deviation	-0.20077268931115	0.3280627450767878	-0.20077268931115022	0.28705490194218936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
global_shared_serology	cross_antigen_standard_deviation	-0.035718408008203584	0.9783927640008413	-0.035718408008203584	0.9783927640008413	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
global_shared_serology	mean_cross_reactive_score	-0.7192265231528525	0.4913473132699374	-0.4992099180315539	0.2685148629158725	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
global_shared_serology	mean_cross_reactive_score	-1.2625198819834713	0.12454327726848338	-0.7298352891327231	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
global_shared_serology	mean_cross_reactive_score	-0.5432933588306188	0.3772399421954749	-0.2306253711011692	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
global_shared_serology	median_cross_reactive_score	-0.8066968196080011	0.4913473132699374	-0.8976499410688168	0.2518165913532442	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
global_shared_serology	median_cross_reactive_score	-1.1999617349872715	0.0723863769536305	-1.1230884867443292	0.23721482655226936	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
global_shared_serology	median_cross_reactive_score	-0.39326491537927044	0.3772399421954749	-0.22543854567551236	0.9127359416182443	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose2
global_shared_serology	minimum_cross_reactive_score	-0.1089382983068139	0.989002608063866	-0.3925556581703511	0.4014778900238963	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
global_shared_serology	minimum_cross_reactive_score	-0.27597548623981827	0.3718728099016143	-0.37510048851774125	0.2730275071594345	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
global_shared_serology	minimum_cross_reactive_score	-0.16703718793300437	0.5091950573961057	0.017455169652609848	0.9672776364949917	recall_dose_pairwise	direction_changed_after_bpv_calibration	dose3_minus_dose2
global_shared_serology	positive_antigen_count	0.0	1.0	0.0	0.8336949832637034	recall_dose_pairwise	not_fdr_significant	dose2_minus_dose1
global_shared_serology	positive_antigen_count	0.0	0.667600084270493	0.0	0.5155674877467057	recall_dose_pairwise	not_fdr_significant	dose3_minus_dose1
