antigen_target	antigen_class	visit	feature	assay_family	observations	unique_participants	minimum	minimum_count	minimum_fraction	zero_count	zero_fraction	q1	median	mean	q3	maximum	standard_deviation	skewness	unique_values	possible_lower_bound_accumulation	discrete_titer_or_ordinal_assay
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	ADCP	antibody_dependent_cellular_phagocytosis	80	80	4.035025	1	0.0125	0	0.0	30.01322775	35.910658	37.9447029375	43.943813250000005	68.1914625	11.05295493254722	0.6360350382939196	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	ADCP	antibody_dependent_cellular_phagocytosis	80	80	23.05555	1	0.0125	0	0.0	52.17073575	59.983686250000005	58.6306112625	65.18959137499999	93.4970875	10.471916507208393	-0.3404718903408427	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	7	0.0875	0	0.0	319.625	1219.0	1175.7975	1792.125	3173.0	890.8627034786938	0.30539452774703857	72	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	4	0.05	0	0.0	594.425	1932.15	1729.25625	2591.7250000000004	3848.0	1127.8622138267442	-0.24109438118761733	77	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	1	0.0125	0	0.0	99.875	557.25	659.92875	957.25	3177.3	664.9747615261591	1.444787195345401	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	FcgR2B	fc_gamma_receptor_binding	80	80	25.0	1	0.0125	0	0.0	647.075	1357.0	1310.2637499999998	1787.25	3652.5	793.6991398626251	0.3268958601596813	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	10	0.125	0	0.0	10.075	325.75	445.3625	686.125	1685.5	472.52238427321146	0.9987848072665471	69	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	2	0.025	0	0.0	313.25	1081.9	1107.7537499999999	1648.25	3110.8	821.820308509975	0.4189376991591037	79	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgA1	antibody_isotype_or_subclass	80	80	1.0	1	0.0125	0	0.0	195.875	395.4	1853.3362499999998	1036.375	30344.3	4686.672593811167	4.524117254681939	79	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgA1	antibody_isotype_or_subclass	80	80	86.30000000000001	1	0.0125	0	0.0	1378.0	2373.25	4812.43375	5742.25	32373.3	6323.597645467168	2.795202576246774	79	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgA2	antibody_isotype_or_subclass	80	80	1.0	38	0.475	0	0.0	1.0	9.400000000000006	458.0975	179.875	8367.0	1268.615482633915	4.331277786333891	43	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgA2	antibody_isotype_or_subclass	80	80	1.0	10	0.125	0	0.0	200.72500000000002	709.25	1343.98375	1830.5	10867.0	1883.8725715756698	2.7517458847209326	71	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG	antibody_isotype_or_subclass	80	80	52.5	1	0.0125	0	0.0	601.875	8755.0	11271.24	19123.375	31786.0	10677.440447541012	0.5652727998290243	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG	antibody_isotype_or_subclass	80	80	781.3	1	0.0125	0	0.0	25695.375	31212.65	25099.567499999997	32309.625	32715.5	11518.532828982521	-1.3095630842293122	79	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG1	antibody_isotype_or_subclass	80	80	47.3	1	0.0125	0	0.0	410.5	4889.6	5664.56875	8679.625	24275.8	5493.299612879237	0.9248019466320239	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG1	antibody_isotype_or_subclass	80	80	784.5	1	0.0125	0	0.0	7901.4	18055.75	15734.833750000002	22200.925	29404.5	8703.98152968512	-0.44773132403405197	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG2	antibody_isotype_or_subclass	80	80	1.0	9	0.1125	0	0.0	24.25	168.25	489.35875	444.95	8275.0	1172.4152395147885	4.987262558824994	71	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG2	antibody_isotype_or_subclass	80	80	1.0	7	0.0875	0	0.0	60.2	759.5	1728.9287499999998	2044.625	24250.3	3262.5793007169605	4.7636873695563615	73	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG3	antibody_isotype_or_subclass	80	80	1.0	3	0.0375	0	0.0	78.575	173.75	412.5112499999999	518.125	8277.0	965.8284450744208	7.119405644833438	78	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG3	antibody_isotype_or_subclass	80	80	32.0	1	0.0125	0	0.0	410.125	1740.9	5194.0425000000005	6924.175	31250.0	7574.827621062	1.9794027603397122	79	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgG4	antibody_isotype_or_subclass	80	80	1.0	31	0.3875	0	0.0	1.0	8.899999999999999	65.28625	43.2	1234.8	170.55016763979455	4.948308921449429	47	yes	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgG4	antibody_isotype_or_subclass	80	80	0.5	1	0.0125	0	0.0	1.0	27.75	548.99375	104.25	16497.0	2237.4241353290276	5.88589003078177	56	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	IgM	antibody_isotype_or_subclass	80	80	404.5	1	0.0125	0	0.0	1350.6	1908.5	2234.8475	2536.3500000000004	10802.5	1679.0688252700277	3.1779937254986317	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	IgM	antibody_isotype_or_subclass	80	80	468.5	1	0.0125	0	0.0	2082.075	3481.5	4491.495	5389.175	27044.5	3933.2748571963753	2.996464705210116	80	no	no
HPV18	vaccine_target_2vHPV_and_4vHPV	v1	nAb	neutralizing_antibody	80	80	50.0	28	0.35	0	0.0	50.0	400.0	1007.5	1600.0	12800.0	1752.8475927884615	4.438713438419956	9	yes	yes
HPV18	vaccine_target_2vHPV_and_4vHPV	v2	nAb	neutralizing_antibody	80	80	50.0	2	0.025	0	0.0	6400.0	25600.0	28798.75	51200.0	102400.0	29164.597247260877	1.2848503949556607	10	no	yes
HPV31	cross_reactive_non_booster_target	v1	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	10	0.125	0	0.0	13.849999999999996	233.85	758.1850000000001	1239.95	4103.5	1013.0600244752891	1.4385980920601371	70	yes	no
HPV31	cross_reactive_non_booster_target	v2	FcgR2A	fc_gamma_receptor_binding	80	80	1.0	8	0.1	0	0.0	70.775	1772.7	1842.55	3221.5	5402.0	1614.1710497883066	0.3435662205391604	71	yes	no
HPV31	cross_reactive_non_booster_target	v1	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	15	0.1875	0	0.0	7.925000000000001	68.25	330.28000000000003	417.75	2253.0	515.2373658220457	1.8983876052272641	65	yes	no
HPV31	cross_reactive_non_booster_target	v2	FcgR2B	fc_gamma_receptor_binding	80	80	1.0	3	0.0375	0	0.0	246.25	1325.2	1312.7450000000001	2125.8	3832.8	1038.6842394788573	0.40946575997395457	78	no	no
HPV31	cross_reactive_non_booster_target	v1	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	13	0.1625	0	0.0	6.5	29.75	251.21374999999998	290.875	2464.5	454.21353472238144	2.5792295999160872	64	yes	no
HPV31	cross_reactive_non_booster_target	v2	FcgR3A	fc_gamma_receptor_binding	80	80	1.0	2	0.025	0	0.0	378.875	1101.5	1257.4924999999998	1816.55	4539.0	1073.9714132130027	0.9390775050793466	78	no	no
HPV31	cross_reactive_non_booster_target	v1	IgA1	antibody_isotype_or_subclass	80	80	1.0	4	0.05	0	0.0	119.45	193.25	1493.7475	558.625	24908.5	4257.986199387086	4.538855346712013	76	yes	no
HPV31	cross_reactive_non_booster_target	v2	IgA1	antibody_isotype_or_subclass	80	80	87.5	1	0.0125	0	0.0	522.0	1758.4	7798.020000000001	10279.0	32593.0	10850.811545072725	1.336958903857223	79	no	no
HPV31	cross_reactive_non_booster_target	v1	IgA2	antibody_isotype_or_subclass	80	80	1.0	46	0.575	0	0.0	1.0	1.0	490.8737499999999	77.25	10386.0	1802.0646371992284	4.723879386928888	35	yes	no
HPV31	cross_reactive_non_booster_target	v2	IgA2	antibody_isotype_or_subclass	80	80	1.0	17	0.2125	0	0.0	6.875	215.5	4198.8550000000005	3118.625	32488.8	8082.545634257075	2.245804229869214	64	yes	no
HPV31	cross_reactive_non_booster_target	v1	IgG	antibody_isotype_or_subclass	80	80	42.5	1	0.0125	0	0.0	201.85000000000002	681.85	3913.5875	3401.5	32713.5	7226.392295131292	2.706345546116272	79	no	no
HPV31	cross_reactive_non_booster_target	v2	IgG	antibody_isotype_or_subclass	80	80	118.5	1	0.0125	0	0.0	5689.275	28799.0	21302.6575	32380.25	32713.0	13120.56162750699	-0.7273312452899611	80	no	no
HPV31	cross_reactive_non_booster_target	v1	IgG1	antibody_isotype_or_subclass	80	80	8.0	1	0.0125	0	0.0	126.2	475.6	1709.2762500000001	1863.0	11933.5	2684.615257597917	2.317007458108337	80	no	no
HPV31	cross_reactive_non_booster_target	v2	IgG1	antibody_isotype_or_subclass	80	80	56.7	1	0.0125	0	0.0	3219.425	9248.75	10249.846249999999	15151.875	27245.8	8069.511963674414	0.43685456870554	79	no	no
HPV31	cross_reactive_non_booster_target	v1	IgG2	antibody_isotype_or_subclass	80	80	1.0	31	0.3875	0	0.0	1.0	5.75	93.07874999999999	25.1	5270.7	589.883311716356	8.779924875495302	47	yes	no
HPV31	cross_reactive_non_booster_target	v2	IgG2	antibody_isotype_or_subclass	80	80	1.0	15	0.1875	0	0.0	7.399999999999999	37.6	186.90249999999997	163.625	2638.5	423.6525893339578	4.079373076350948	64	yes	no
HPV31	cross_reactive_non_booster_target	v1	IgG3	antibody_isotype_or_subclass	80	80	0.5	1	0.0125	0	0.0	16.325	54.5	1279.26125	193.64999999999998	32696.5	4692.511353816272	5.071694050677717	68	no	no
HPV31	cross_reactive_non_booster_target	v2	IgG3	antibody_isotype_or_subclass	80	80	1.0	3	0.0375	0	0.0	169.625	4692.6	12557.0375	28101.725	32704.2	13527.17433857385	0.45761450370031975	78	no	no
HPV31	cross_reactive_non_booster_target	v1	IgG4	antibody_isotype_or_subclass	80	80	0.5	1	0.0125	0	0.0	1.0	1.0	5.64375	1.0	113.0	16.85545281376214	4.971601992533212	20	no	no
