matrix_representation	cluster_count	cluster_label	marker_direction	marker_rank	feature_column	antigen_target	assay_feature	feature_family	cluster_mean_standardized_value
raw_log2_change	5	3	lowest_cluster_z_score	5	HPV45__IgG4	HPV45	IgG4	igg_subclass_architecture	-0.30960568476164013
raw_log2_change	5	4	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.7096872041188154
raw_log2_change	5	4	highest_cluster_z_score	2	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.47803602952130697
raw_log2_change	5	4	highest_cluster_z_score	3	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	0.4392000527644139
raw_log2_change	5	4	highest_cluster_z_score	4	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	0.4380691072158556
raw_log2_change	5	4	highest_cluster_z_score	5	HPV58__IgG4	HPV58	IgG4	igg_subclass_architecture	0.4211891521223874
raw_log2_change	5	4	lowest_cluster_z_score	1	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	-0.8461779538680152
raw_log2_change	5	4	lowest_cluster_z_score	2	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.8176452778879951
raw_log2_change	5	4	lowest_cluster_z_score	3	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.7825097170422534
raw_log2_change	5	4	lowest_cluster_z_score	4	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	-0.7741402791056762
raw_log2_change	5	4	lowest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	-0.7477048286809873
raw_log2_change	5	5	highest_cluster_z_score	1	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.8308603633402032
raw_log2_change	5	5	highest_cluster_z_score	2	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.809113052384457
raw_log2_change	5	5	highest_cluster_z_score	3	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.8088177656972604
raw_log2_change	5	5	highest_cluster_z_score	4	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.7556484296090005
raw_log2_change	5	5	highest_cluster_z_score	5	HPV16__FcgR2A	HPV16	FcgR2A	fc_receptor_communication	1.6167187470864903
raw_log2_change	5	5	lowest_cluster_z_score	1	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.3579913929889849
raw_log2_change	5	5	lowest_cluster_z_score	2	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-1.294266176534907
raw_log2_change	5	5	lowest_cluster_z_score	3	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	-1.2498920779107072
raw_log2_change	5	5	lowest_cluster_z_score	4	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-1.2392251703695636
raw_log2_change	5	5	lowest_cluster_z_score	5	HPV33__FcgR3A	HPV33	FcgR3A	fc_receptor_communication	-1.176078159033056
raw_log2_change	6	1	highest_cluster_z_score	1	HPV31__IgG4	HPV31	IgG4	igg_subclass_architecture	0.6024881580504585
raw_log2_change	6	1	highest_cluster_z_score	2	HPV45__IgA2	HPV45	IgA2	binding_antibody_abundance	0.4742909340608941
raw_log2_change	6	1	highest_cluster_z_score	3	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	0.4283757408014594
raw_log2_change	6	1	highest_cluster_z_score	4	HPV52__IgG4	HPV52	IgG4	igg_subclass_architecture	0.34291293093546
raw_log2_change	6	1	highest_cluster_z_score	5	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	0.33506634346831343
raw_log2_change	6	1	lowest_cluster_z_score	1	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	-0.882243712604184
raw_log2_change	6	1	lowest_cluster_z_score	2	HPV18__IgA1	HPV18	IgA1	binding_antibody_abundance	-0.8576092574158841
raw_log2_change	6	1	lowest_cluster_z_score	3	HPV18__IgG	HPV18	IgG	binding_antibody_abundance	-0.8540192156302866
raw_log2_change	6	1	lowest_cluster_z_score	4	HPV16__ADCP	HPV16	ADCP	phagocytic_function	-0.84491533785567
raw_log2_change	6	1	lowest_cluster_z_score	5	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	-0.827026830761224
raw_log2_change	6	2	highest_cluster_z_score	1	HPV18__IgG2	HPV18	IgG2	igg_subclass_architecture	0.7315324568128927
raw_log2_change	6	2	highest_cluster_z_score	2	HPV16__ADCP	HPV16	ADCP	phagocytic_function	0.6857577715193135
raw_log2_change	6	2	highest_cluster_z_score	3	HPV18__nAb	HPV18	nAb	neutralization	0.6403075002135779
raw_log2_change	6	2	highest_cluster_z_score	4	HPV45__FcgR2A	HPV45	FcgR2A	fc_receptor_communication	0.6160773809233957
raw_log2_change	6	2	highest_cluster_z_score	5	HPV31__FcgR2A	HPV31	FcgR2A	fc_receptor_communication	0.6008391807392875
raw_log2_change	6	2	lowest_cluster_z_score	1	HPV31__IgM	HPV31	IgM	binding_antibody_abundance	-0.6405953758561492
raw_log2_change	6	2	lowest_cluster_z_score	2	HPV45__IgM	HPV45	IgM	binding_antibody_abundance	-0.5821962912116347
raw_log2_change	6	2	lowest_cluster_z_score	3	HPV58__IgM	HPV58	IgM	binding_antibody_abundance	-0.5363359105568271
raw_log2_change	6	2	lowest_cluster_z_score	4	HPV45__IgA1	HPV45	IgA1	binding_antibody_abundance	-0.518509482023294
raw_log2_change	6	2	lowest_cluster_z_score	5	HPV45__IgG2	HPV45	IgG2	igg_subclass_architecture	-0.47732971680036795
raw_log2_change	6	3	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.6139500432450993
raw_log2_change	6	3	highest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.5738674455537118
raw_log2_change	6	3	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.494691651436711
raw_log2_change	6	3	highest_cluster_z_score	4	HPV16__IgA2	HPV16	IgA2	binding_antibody_abundance	1.0970388447504367
raw_log2_change	6	3	highest_cluster_z_score	5	HPV16__IgA1	HPV16	IgA1	binding_antibody_abundance	1.0812888495026105
raw_log2_change	6	3	lowest_cluster_z_score	1	HPV16__FcgR2A	HPV16	FcgR2A	fc_receptor_communication	-2.2209953635083135
raw_log2_change	6	3	lowest_cluster_z_score	2	HPV18__FcgR2A	HPV18	FcgR2A	fc_receptor_communication	-1.9618460531653759
raw_log2_change	6	3	lowest_cluster_z_score	3	HPV31__FcgR2A	HPV31	FcgR2A	fc_receptor_communication	-1.752924010339306
raw_log2_change	6	3	lowest_cluster_z_score	4	HPV45__FcgR2A	HPV45	FcgR2A	fc_receptor_communication	-1.6169032038911673
raw_log2_change	6	3	lowest_cluster_z_score	5	HPV52__FcgR2A	HPV52	FcgR2A	fc_receptor_communication	-1.5259113307248364
raw_log2_change	6	4	highest_cluster_z_score	1	HPV58__FcgR3A	HPV58	FcgR3A	fc_receptor_communication	1.1433221843936752
raw_log2_change	6	4	highest_cluster_z_score	2	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	1.1139743942363127
raw_log2_change	6	4	highest_cluster_z_score	3	HPV31__FcgR3A	HPV31	FcgR3A	fc_receptor_communication	1.095001520217276
raw_log2_change	6	4	highest_cluster_z_score	4	HPV45__FcgR3A	HPV45	FcgR3A	fc_receptor_communication	1.0017644483037784
raw_log2_change	6	4	highest_cluster_z_score	5	HPV31__FcgR2B	HPV31	FcgR2B	fc_receptor_communication	0.9811842917532113
raw_log2_change	6	4	lowest_cluster_z_score	1	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	-0.5535945210813683
raw_log2_change	6	4	lowest_cluster_z_score	2	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	-0.4869354533011113
raw_log2_change	6	4	lowest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	-0.46149542721191916
raw_log2_change	6	4	lowest_cluster_z_score	4	BPV__IgA1	BPV	IgA1	binding_antibody_abundance	-0.3505814525368747
raw_log2_change	6	4	lowest_cluster_z_score	5	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	-0.3423532427743827
raw_log2_change	6	5	highest_cluster_z_score	1	HPV31__IgG1	HPV31	IgG1	igg_subclass_architecture	1.918125391933131
raw_log2_change	6	5	highest_cluster_z_score	2	HPV16__nAb	HPV16	nAb	neutralization	1.6926233119216747
raw_log2_change	6	5	highest_cluster_z_score	3	HPV58__IgM	HPV58	IgM	binding_antibody_abundance	1.6076922244989384
raw_log2_change	6	5	highest_cluster_z_score	4	HPV31__IgG	HPV31	IgG	binding_antibody_abundance	1.5205987028986168
raw_log2_change	6	5	highest_cluster_z_score	5	HPV18__IgG1	HPV18	IgG1	igg_subclass_architecture	1.3078609425688692
raw_log2_change	6	5	lowest_cluster_z_score	1	HPV45__FcgR2A	HPV45	FcgR2A	fc_receptor_communication	-2.1193643848761097
raw_log2_change	6	5	lowest_cluster_z_score	2	HPV31__FcgR2A	HPV31	FcgR2A	fc_receptor_communication	-2.0394425364351925
raw_log2_change	6	5	lowest_cluster_z_score	3	HPV52__FcgR2A	HPV52	FcgR2A	fc_receptor_communication	-1.880541164521285
raw_log2_change	6	5	lowest_cluster_z_score	4	HPV58__FcgR2A	HPV58	FcgR2A	fc_receptor_communication	-1.7348763646880605
raw_log2_change	6	5	lowest_cluster_z_score	5	HPV18__FcgR2A	HPV18	FcgR2A	fc_receptor_communication	-1.3557843928562614
raw_log2_change	6	6	highest_cluster_z_score	1	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.6917739820743953
raw_log2_change	6	6	highest_cluster_z_score	2	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.6399849517020633
raw_log2_change	6	6	highest_cluster_z_score	3	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.60538947119333
raw_log2_change	6	6	highest_cluster_z_score	4	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.602000020173605
raw_log2_change	6	6	highest_cluster_z_score	5	HPV16__FcgR2A	HPV16	FcgR2A	fc_receptor_communication	1.4493414846105759
raw_log2_change	6	6	lowest_cluster_z_score	1	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-1.3220164854811123
raw_log2_change	6	6	lowest_cluster_z_score	2	HPV45__IgG	HPV45	IgG	binding_antibody_abundance	-1.2621981809970155
raw_log2_change	6	6	lowest_cluster_z_score	3	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-1.2026831197702335
raw_log2_change	6	6	lowest_cluster_z_score	4	HPV52__FcgR3A	HPV52	FcgR3A	fc_receptor_communication	-1.1841851426101757
raw_log2_change	6	6	lowest_cluster_z_score	5	HPV33__FcgR3A	HPV33	FcgR3A	fc_receptor_communication	-1.159507143632448
bpv_calibrated_log2_change	2	1	highest_cluster_z_score	1	HPV16__IgG1	HPV16	IgG1	igg_subclass_architecture	1.4409414922340105
bpv_calibrated_log2_change	2	1	highest_cluster_z_score	2	HPV16__IgG	HPV16	IgG	binding_antibody_abundance	1.4323450463018426
bpv_calibrated_log2_change	2	1	highest_cluster_z_score	3	HPV16__FcgR2B	HPV16	FcgR2B	fc_receptor_communication	1.3082916652580696
bpv_calibrated_log2_change	2	1	highest_cluster_z_score	4	HPV16__FcgR3A	HPV16	FcgR3A	fc_receptor_communication	1.1751220855308808
bpv_calibrated_log2_change	2	1	highest_cluster_z_score	5	HPV16__IgM	HPV16	IgM	binding_antibody_abundance	1.1327515525251177
bpv_calibrated_log2_change	2	1	lowest_cluster_z_score	1	HPV52__IgG	HPV52	IgG	binding_antibody_abundance	-0.9192174246923128
bpv_calibrated_log2_change	2	1	lowest_cluster_z_score	2	HPV45__IgG1	HPV45	IgG1	igg_subclass_architecture	-0.8978468095089415
