matrix_type	mechanistic_axis	analysis_stratum	metric	participants	mean	standard_deviation	median	first_quartile	third_quartile	minimum	maximum
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	minimum_cross_reactive_score	19	0.5815692404576882	1.631409805557641	1.0622770076491608	-0.5031605160427862	1.687580381239464	-3.574176959896452	3.757529186285146
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	positive_antigen_count	19	4.315789473684211	1.293257367998745	5.0	4.0	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	twofold_antigen_count	19	3.9473684210526314	1.5082618476808298	5.0	3.5	5.0	0.0	5.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	positive_antigen_fraction	19	0.863157894736842	0.25865147359974894	1.0	0.8	1.0	0.0	1.0
bpv_calibrated_log2_change	fc_receptor_communication	recall_dose3	twofold_antigen_fraction	19	0.7894736842105263	0.301652369536166	1.0	0.7	1.0	0.0	1.0
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	mean_cross_reactive_score	20	0.5452157641391405	1.1792774536732187	0.6661844915773525	-0.1547509576585127	1.228048608545038	-2.4581695660731877	2.6968505793117776
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	median_cross_reactive_score	20	0.42932759783364993	0.9424434309173545	0.3811842455440874	-0.13791172512392513	1.167689853227109	-2.0023313706703365	2.1873110270744665
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	minimum_cross_reactive_score	20	-0.4320805444757315	1.3870801751565534	-0.21037479347906746	-0.9545101469227094	0.48727914242849696	-4.83822871333146	1.2498416918886663
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	positive_antigen_count	20	3.3	1.7198531149031608	3.5	2.0	5.0	0.0	5.0
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	twofold_antigen_count	20	1.7	1.8945906376340316	1.0	0.0	3.25	0.0	5.0
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	positive_antigen_fraction	20	0.6599999999999999	0.3439706229806322	0.7	0.4	1.0	0.0	1.0
bpv_calibrated_log2_change	global_shared_serology	primary_dose0	twofold_antigen_fraction	20	0.33999999999999997	0.3789181275268063	0.2	0.0	0.65	0.0	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	mean_cross_reactive_score	60	1.9186337087510856	1.1631481806642214	1.7986562789224216	1.2441207993371535	2.370668215375449	-0.1042100828867258	5.127846617961368
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	median_cross_reactive_score	60	1.9217292821059788	1.2065900749535081	1.750790195396195	1.2033185048875343	2.4526830510889885	-0.05585509814166892	5.286244895331287
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	minimum_cross_reactive_score	60	0.673480966731073	0.9628092304783505	0.6244988600409966	-0.006825867186774769	1.1554220681149245	-1.2894783354400348	2.8810002231841865
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	positive_antigen_count	60	4.583333333333333	0.8293691019953858	5.0	4.75	5.0	1.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	twofold_antigen_count	60	3.55	1.5989933273834975	4.0	3.0	5.0	0.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	positive_antigen_fraction	60	0.9166666666666666	0.16587382039907714	1.0	0.95	1.0	0.2	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_all_doses	twofold_antigen_fraction	60	0.7100000000000001	0.31979866547669955	0.8	0.6	1.0	0.0	1.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	mean_cross_reactive_score	20	2.498444268481366	1.38266259924769	2.1576762813439645	1.7572294310182275	3.5148758061146554	0.1854832037025572	5.127846617961368
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	median_cross_reactive_score	20	2.582443815528017	1.4675909822476807	2.5968846844028493	1.6786304245948176	3.696268526028103	0.06821970702826254	5.286244895331287
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	minimum_cross_reactive_score	20	0.9801565738925385	1.0601721730226004	0.9104109732272048	0.16163120259201616	1.8425490754599114	-0.7178934603980108	2.8245766846885885
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	positive_antigen_count	20	4.7	0.6569466853317862	5.0	5.0	5.0	3.0	5.0
bpv_calibrated_log2_change	global_shared_serology	recall_dose1	twofold_antigen_count	20	3.9	1.5183093090324964	4.0	4.0	5.0	0.0	5.0
